Estado,Superficie_miles_Ha,Volumen_miles_Ton,Valor_millones_MXN,Anio
Oaxaca,0.80824,1.47117,21.8254462,2011
Colima,0.2404,0.6134700000000001,4.862813,2011
Hidalgo,0.098,0.285,4.85,2011
Veracruz,0.095,0.99,12.87,2011
Baja California Sur,0.07375,0.26125,3.50375,2011
Guanajuato,0.062,0.206,1.6642993400000001,2011
Zacatecas,0.062,0.3383,2.96876,2011
Baja California,0.031,0.055799999999999995,0.684,2011
Querétaro,0.029,0.09570000000000001,0.51967971,2011
Sonora,0.027,0.3635,3.090702,2011
Michoacán,112.67334,1117.33849,14835.69748699,2012
Jalisco,10.887360000000001,39.76276,479.1080224,2012
Estado de México,5.043,28.241049999999998,286.76651353,2012
Nayarit,3.82321,22.010009999999998,116.53627234000001,2012
Morelos,2.9544,31.3717,241.761448,2012
Chiapas,2.7364,4.67438,71.62922,2012
Guerrero,1.9644000000000001,9.146,102.21993029000001,2012
Puebla,1.03248,7.051620000000001,55.44935892,2012
Durango,1.032,3.2906999999999997,46.40475,2012
Oaxaca,1.0213700000000001,1.69714,23.92235501,2012
Colima,0.372,1.152,16.6369988,2012
Veracruz,0.295,0.81,16.2,2012
Hidalgo,0.078,0.30019999999999997,4.0981226,2012
Guanajuato,0.059,0.2397,1.8650006799999999,2012
Baja California Sur,0.058,0.17515,1.839075,2012
Zacatecas,0.057,0.3335,3.80764,2012
Querétaro,0.035,0.08940000000000001,0.56380023,2012
Baja California,0.031,0.09456,1.55445337,2012
Sonora,0.027,0.36869999999999997,4.4244,2012
Michoacán,122.25189,1193.75121,15509.56529654,2013
Jalisco,13.333350000000001,86.62908,879.89091048,2013
Estado de México,6.574,56.009399999999985,696.2066846600001,2013
Nayarit,4.87237,28.97372,159.25401377,2013
Morelos,3.1274,23.796680000000002,209.30838082,2013
Guerrero,3.1094,9.25793,79.36397265000001,2013
Chiapas,3.0804,5.845560000000001,61.00997584,2013
Puebla,1.4865,6.728,51.01729978,2013
